,Accession
0,PZ253834
1,PZ253835
2,PZ253836
3,PZ253837
4,PZ253838
5,PZ253839
6,PZ239283
7,PZ239284
8,PZ239285
9,PZ239296
10,PZ239297
11,PZ037813
12,PZ037814
13,PZ037823
14,PX703456
15,PX703546
16,PX703547
17,PX703548
18,PX703549
19,PX703550
20,PX703551
21,PX703552
22,PX703553
23,PX703554
24,PX703555
25,PX703556
26,PX703557
27,PX703558
28,PX703559
29,PX703560
30,PX703561
31,PX703562
32,PX703563
33,PX447498
34,OZ302275
35,OZ302278
36,OZ302279
37,OZ302280
38,OZ302281
39,OZ302285
40,OZ302286
41,OZ302288
42,OZ302289
43,OZ302291
44,OZ302292
45,OZ302293
46,OZ302294
47,OZ302295
48,OZ302296
49,OZ302298
50,OZ302299
51,OZ302300
52,OZ302303
53,OZ302304
54,OZ302305
55,OZ302306
56,OZ302307
57,OZ302308
58,OZ302309
59,OZ302310
60,OZ302312
61,OZ302313
62,OZ302314
63,OZ302317
64,OZ302318
65,OZ302319
66,OZ302320
67,OZ302321
68,OZ302322
69,OZ302323
70,OZ302324
71,OZ302326
72,OZ302329
73,OZ302330
74,OZ302331
75,OZ302332
76,OZ302334
77,OZ302335
78,OZ302337
79,OZ302338
80,OZ302340
81,OZ302341
82,OZ302342
83,OZ302343
84,OZ302344
85,OZ302345
86,OZ302347
87,OZ302348
88,OZ302349
89,OZ302351
90,OZ302352
91,OZ302353
92,OZ302354
93,OZ302355
94,OZ302356
95,OZ302357
96,OZ302359
97,OZ302360
98,OZ302362
99,OZ302363
100,OZ302364
101,OZ302365
102,OZ302366
103,OZ302368
104,OZ302369
105,OZ302370
106,OZ302371
107,OZ302372
108,OZ302373
109,OZ302376
110,OZ302377
111,OZ302378
112,OZ302379
113,OZ302380
114,OZ302382
115,OZ302383
116,OZ302385
117,OZ302387
118,OZ302388
119,OZ302390
120,OZ302391
121,OZ302392
122,OZ302394
123,OZ302395
124,OZ302399
125,OZ302400
126,OZ302401
127,OZ302404
128,OZ302406
129,OZ302407
