accession,pangolin_lineage,mut_sum,stat_b,stat_s,stat_qs,H_A_A,H_A_C,H_A_G,H_A_T,H_C_A,H_C_C,H_C_G,H_C_T,H_G_A,H_G_C,H_G_G,H_G_T,H_T_A,H_T_C,H_T_G,H_T_T
PZ253834,XFG.3.11,70.0,5.592156862745099,2.8491794260566623,-0.6536717186605505,1107.0,2.0,9.0,2.0,6.0,693.0,2.0,16.0,8.0,4.0,683.0,5.0,3.0,8.0,5.0,1245.0
PZ253835,XFG.5.1.7,70.0,5.866666666666667,2.6588910487827464,-0.7329723084996097,1106.0,2.0,10.0,2.0,6.0,693.0,2.0,16.0,8.0,4.0,684.0,4.0,3.0,8.0,5.0,1245.0
PZ253836,XFG.17.2.1,72.0,4.697076023391812,2.1351488283723867,-0.5884202158025411,1105.0,3.0,10.0,2.0,6.0,693.0,2.0,16.0,9.0,4.0,683.0,4.0,3.0,8.0,5.0,1245.0
PZ253837,XFG.21,71.0,4.421216691804927,1.8086956521739141,-0.7757862371947974,1107.0,2.0,9.0,2.0,6.0,693.0,2.0,16.0,8.0,4.0,684.0,4.0,3.0,10.0,5.0,1243.0
PZ253838,XFG.21,71.0,4.421216691804927,1.8086956521739141,-0.7757862371947974,1107.0,2.0,9.0,2.0,6.0,693.0,2.0,16.0,8.0,4.0,684.0,4.0,3.0,10.0,5.0,1243.0
PZ253839,XFG.6.2.1,72.0,7.217777777777778,3.6564586789162523,-0.7937738618732824,1106.0,2.0,10.0,2.0,7.0,691.0,2.0,17.0,8.0,4.0,684.0,4.0,3.0,8.0,5.0,1245.0
PZ239283,XFG.1.1,69.0,4.536601307189542,2.0360690519818703,-0.5582082077840788,1107.0,2.0,9.0,2.0,6.0,694.0,2.0,15.0,8.0,4.0,683.0,5.0,3.0,9.0,4.0,1245.0
PZ239284,XFG.3.4.1,70.0,4.996601307189542,2.2405063291139236,-0.7636351054822165,1107.0,2.0,9.0,2.0,6.0,693.0,2.0,16.0,8.0,4.0,684.0,4.0,3.0,9.0,5.0,1244.0
PZ239285,XFG.1.1.1,69.0,4.536601307189542,2.0360690519818703,-0.5582082077840788,1107.0,2.0,9.0,2.0,6.0,694.0,2.0,15.0,8.0,4.0,683.0,5.0,3.0,9.0,4.0,1245.0
PZ239296,PQ.17,66.0,5.605916305916306,4.687530065743759,-0.27834036866407513,1109.0,2.0,6.0,3.0,5.0,695.0,2.0,15.0,9.0,3.0,683.0,5.0,5.0,7.0,4.0,1245.0
PZ239297,XFG.4.1.4,70.0,4.996601307189542,2.2405063291139236,-0.7636351054822165,1102.0,2.0,9.0,2.0,6.0,689.0,2.0,16.0,8.0,4.0,680.0,4.0,3.0,9.0,5.0,1238.0
PZ037813,XFG.3.6,69.0,5.703267973856209,2.7649725142250956,-0.7484455536605893,1107.0,2.0,9.0,2.0,6.0,693.0,2.0,16.0,8.0,4.0,684.0,4.0,3.0,8.0,5.0,1245.0
PZ037814,XFG.3.6,69.0,5.703267973856209,2.7649725142250956,-0.7484455536605893,1107.0,2.0,9.0,2.0,6.0,693.0,2.0,16.0,8.0,4.0,684.0,4.0,3.0,8.0,5.0,1245.0
PZ037823,PQ.2.1,63.0,5.704761904761904,4.365877712031559,-0.1805183288698752,1110.0,2.0,6.0,2.0,5.0,696.0,2.0,14.0,9.0,3.0,684.0,4.0,5.0,7.0,4.0,1245.0
PX703456,KP.2.3.4,63.0,5.722077922077922,2.8205831049090477,-1.0810764009201932,1109.0,2.0,6.0,3.0,6.0,695.0,1.0,14.0,8.0,4.0,684.0,4.0,3.0,8.0,4.0,1244.0
PX703546,XFG.3,72.0,7.046153846153846,3.620761606677099,-0.7178959345870487,1106.0,2.0,10.0,2.0,6.0,691.0,2.0,18.0,8.0,4.0,684.0,4.0,3.0,8.0,5.0,1245.0
PX703547,QM.1,71.0,7.611111111111111,4.851126009970775,-0.9516031397278136,1107.0,2.0,8.0,3.0,7.0,690.0,2.0,17.0,8.0,4.0,683.0,5.0,3.0,7.0,5.0,1244.0
PX703548,XFG.3,72.0,7.046153846153846,3.620761606677099,-0.7178959345870487,1106.0,2.0,10.0,2.0,6.0,691.0,2.0,18.0,8.0,4.0,684.0,4.0,3.0,8.0,5.0,1245.0
PX703549,XFG.3,70.0,4.996601307189542,2.2405063291139236,-0.7636351054822165,1107.0,2.0,9.0,2.0,6.0,693.0,2.0,16.0,8.0,4.0,684.0,4.0,3.0,9.0,5.0,1244.0
PX703550,XFG.3,72.0,7.046153846153846,3.620761606677099,-0.7178959345870487,1106.0,2.0,10.0,2.0,6.0,691.0,2.0,18.0,8.0,4.0,684.0,4.0,3.0,8.0,5.0,1245.0
PX703551,XFG.3,73.0,7.681481481481481,4.1476184449225855,-0.7106320657440546,1106.0,2.0,10.0,2.0,6.0,690.0,2.0,19.0,8.0,4.0,684.0,4.0,3.0,8.0,5.0,1245.0
PX703552,XFG.3,72.0,7.046153846153846,3.620761606677099,-0.7178959345870487,1106.0,2.0,10.0,2.0,6.0,691.0,2.0,18.0,8.0,4.0,684.0,4.0,3.0,8.0,5.0,1245.0
PX703553,XFG.21,69.0,5.703267973856209,2.7649725142250956,-0.7484455536605893,1107.0,2.0,9.0,2.0,6.0,693.0,2.0,16.0,8.0,4.0,684.0,4.0,3.0,8.0,5.0,1245.0
PX703554,XFG.3.6,71.0,6.410338680926916,2.8852774137177803,-0.9097843633458892,1107.0,2.0,9.0,2.0,6.0,693.0,2.0,16.0,8.0,4.0,684.0,4.0,3.0,8.0,7.0,1243.0
PX703555,PQ.12,65.0,6.893167701863353,5.279917231865734,-0.17543055192946952,1110.0,2.0,6.0,2.0,5.0,694.0,2.0,16.0,9.0,3.0,684.0,4.0,5.0,7.0,4.0,1245.0
PX703556,XFG.3.6,71.0,6.410338680926916,2.8852774137177803,-0.9097843633458892,1107.0,2.0,9.0,2.0,6.0,693.0,2.0,16.0,8.0,4.0,684.0,4.0,3.0,8.0,7.0,1243.0
PX703557,XFG.3.1.3,71.0,6.4399999999999995,3.123559739968617,-0.7253634823616263,1106.0,2.0,10.0,2.0,6.0,692.0,2.0,17.0,8.0,4.0,684.0,4.0,3.0,8.0,5.0,1245.0
