accession,pangolin_lineage,mut_sum,stat_b,stat_s,stat_qs,stat_c,H_A_A,H_A_C,H_A_G,H_A_T,H_C_A,H_C_C,H_C_G,H_C_T,H_G_A,H_G_C,H_G_G,H_G_T,H_T_A,H_T_C,H_T_G,H_T_T
PZ253834,XFG.3.11,145.0,21.66853146853147,17.127039767154933,-0.7446447315846455,2.979190304263657,8868.0,4.0,17.0,4.0,9.0,5412.0,3.0,50.0,16.0,7.0,5803.0,9.0,4.0,16.0,6.0,9533.0
PZ253835,XFG.5.1.7,143.0,23.83809523809523,18.014093598708975,-0.9903234272923556,2.979403011893841,8847.0,4.0,17.0,4.0,10.0,5391.0,3.0,51.0,16.0,7.0,5799.0,6.0,4.0,15.0,6.0,9512.0
PZ253836,XFG.17.2.1,154.0,21.569207603990215,16.071406606224485,-1.2120394850314133,2.9779248531975027,8864.0,5.0,19.0,6.0,9.0,5410.0,3.0,52.0,19.0,8.0,5804.0,6.0,4.0,17.0,6.0,9534.0
PZ253837,XFG.21,145.0,15.338202973497092,11.507710310752834,-0.8627220551719049,2.979133621726698,8849.0,4.0,16.0,4.0,9.0,5395.0,3.0,48.0,16.0,7.0,5797.0,8.0,4.0,20.0,6.0,9508.0
PZ253838,XFG.21,146.0,16.698192130450195,12.984914184820713,-0.8658692386313691,2.979036406000238,8868.0,4.0,15.0,4.0,9.0,5412.0,3.0,50.0,16.0,7.0,5804.0,8.0,4.0,20.0,6.0,9526.0
PZ253839,XFG.6.2.1,149.0,21.8687663213979,16.440097398796556,-0.929076263885486,2.9785975551096255,8863.0,4.0,20.0,4.0,10.0,5406.0,3.0,50.0,18.0,7.0,5803.0,7.0,4.0,16.0,6.0,9527.0
PZ239283,XFG.1.1,150.0,19.528068010420952,15.38673386075059,-0.969992975113041,2.9785085845718102,8865.0,4.0,17.0,6.0,9.0,5412.0,3.0,49.0,16.0,8.0,5802.0,10.0,4.0,19.0,5.0,9529.0
PZ239284,XFG.3.4.1,148.0,19.305685618729097,14.28345992907366,-1.0018055216869948,2.9787027505398456,8848.0,4.0,17.0,4.0,9.0,5392.0,3.0,51.0,17.0,7.0,5797.0,7.0,4.0,18.0,7.0,9509.0
PZ239285,XFG.1.1.1,151.0,19.338591220985588,15.456403356297683,-0.5494785918259937,2.978279468012142,8847.0,4.0,17.0,4.0,9.0,5392.0,3.0,51.0,16.0,7.0,5794.0,11.0,4.0,20.0,5.0,9508.0
PZ239296,PQ.17,150.0,26.62105462105462,23.5111302283816,-0.4483124439125383,2.9785136412307494,8849.0,4.0,15.0,5.0,7.0,5387.0,3.0,58.0,18.0,6.0,5796.0,8.0,5.0,16.0,5.0,9512.0
PZ239297,XFG.4.1.4,155.0,25.86997326997327,20.61575200106132,-0.9335161940492464,2.9776661665257134,8842.0,4.0,18.0,4.0,10.0,5381.0,3.0,57.0,18.0,7.0,5791.0,7.0,4.0,17.0,6.0,9505.0
PZ037813,XFG.3.6,147.0,21.54994969818914,16.706452363110166,-1.0547966651907672,2.978875444801987,8868.0,4.0,15.0,4.0,10.0,5408.0,3.0,53.0,17.0,7.0,5805.0,6.0,4.0,18.0,6.0,9528.0
PZ037814,XFG.3.6,144.0,22.215374340479528,17.429625210175193,-1.0558468663244687,2.979305074708761,8868.0,4.0,14.0,4.0,10.0,5409.0,3.0,52.0,17.0,7.0,5805.0,6.0,4.0,17.0,6.0,9530.0
PZ037823,PQ.2.1,142.0,24.249188844372856,20.548192771084338,-0.4824831540953404,2.979622168414231,8855.0,4.0,13.0,4.0,7.0,5390.0,3.0,55.0,18.0,6.0,5800.0,6.0,5.0,16.0,5.0,9517.0
PX703456,KP.2.3.4,133.0,23.589789974944853,17.828264533098135,-1.0541691348706783,2.980921594526916,8850.0,4.0,14.0,5.0,9.0,5396.0,2.0,46.0,15.0,7.0,5798.0,8.0,4.0,13.0,6.0,9513.0
PX703546,XFG.3,150.0,24.43320930277452,19.034854264165315,-1.0355660644142515,2.978414238507339,8847.0,4.0,17.0,5.0,9.0,5390.0,3.0,53.0,17.0,8.0,5795.0,8.0,4.0,16.0,6.0,9512.0
PX703547,QM.1,151.0,29.644858523119396,25.310154269941357,-1.04215705923127,2.9782946290106347,8849.0,4.0,15.0,5.0,10.0,5386.0,3.0,55.0,20.0,7.0,5793.0,8.0,4.0,14.0,6.0,9512.0
PX703548,XFG.3,150.0,24.43320930277452,19.034854264165315,-1.0355660644142515,2.978414238507339,8847.0,4.0,17.0,5.0,9.0,5390.0,3.0,53.0,17.0,8.0,5795.0,8.0,4.0,16.0,6.0,9512.0
PX703549,XFG.3,144.0,19.1987567987568,12.693441113271263,-1.2993352295913758,2.9792755855579256,8847.0,4.0,17.0,5.0,9.0,5395.0,3.0,48.0,16.0,8.0,5798.0,6.0,4.0,17.0,7.0,9510.0
PX703550,XFG.3,150.0,24.43320930277452,19.034854264165315,-1.0355660644142515,2.978414238507339,8847.0,4.0,17.0,5.0,9.0,5390.0,3.0,53.0,17.0,8.0,5795.0,8.0,4.0,16.0,6.0,9512.0
PX703551,XFG.3,151.0,25.22120102120102,19.76262675201349,-1.0313821331646276,2.9782694146717494,8847.0,4.0,17.0,5.0,9.0,5389.0,3.0,54.0,17.0,8.0,5795.0,8.0,4.0,16.0,6.0,9512.0
PX703552,XFG.3,150.0,24.43320930277452,19.034854264165315,-1.0355660644142515,2.978414238507339,8847.0,4.0,17.0,5.0,9.0,5390.0,3.0,53.0,17.0,8.0,5795.0,8.0,4.0,16.0,6.0,9512.0
PX703553,XFG.21,144.0,19.354245754245756,15.241682311222364,-0.8408907539302719,2.979277643229269,8849.0,4.0,16.0,4.0,9.0,5394.0,3.0,49.0,17.0,7.0,5796.0,8.0,4.0,17.0,6.0,9511.0
PX703554,XFG.3.6,145.0,20.80879120879121,14.495618255103373,-1.1446187812077138,2.979131150452346,8849.0,4.0,16.0,4.0,9.0,5392.0,3.0,51.0,16.0,7.0,5799.0,6.0,4.0,17.0,8.0,9509.0
PX703555,PQ.12,144.0,25.081690189566903,20.465285666555285,-0.5493968724829175,2.979324278660319,8850.0,4.0,15.0,4.0,7.0,5388.0,3.0,57.0,17.0,6.0,5800.0,5.0,5.0,16.0,5.0,9512.0
PX703556,XFG.3.6,145.0,20.80879120879121,14.495618255103373,-1.1446187812077138,2.9791306574062784,8849.0,4.0,16.0,4.0,9.0,5392.0,3.0,51.0,16.0,7.0,5799.0,6.0,4.0,17.0,8.0,9508.0
PX703557,XFG.3.1.3,146.0,15.829129779001903,10.99407326179473,-0.9895792307375759,2.9789776145379507,8845.0,4.0,18.0,4.0,9.0,5393.0,3.0,49.0,16.0,7.0,5798.0,6.0,4.0,20.0,6.0,9506.0
PX703558,XFG.9.3,142.0,16.945172882672882,13.059498433020831,-0.7392817091093653,2.97955707071616,8849.0,4.0,16.0,4.0,9.0,5395.0,4.0,47.0,17.0,7.0,5798.0,6.0,5.0,17.0,6.0,9510.0
PX703559,XFG.3.1.3,146.0,15.829129779001903,10.99407326179473,-0.9895792307375759,2.9789776145379507,8845.0,4.0,18.0,4.0,9.0,5393.0,3.0,49.0,16.0,7.0,5798.0,6.0,4.0,20.0,6.0,9506.0
PX703560,XFG.9.3,141.0,16.83566017316017,12.415773776648631,-0.872256630023142,2.979696198224279,8848.0,5.0,16.0,4.0,9.0,5396.0,3.0,47.0,17.0,7.0,5798.0,6.0,4.0,17.0,6.0,9511.0
PX703561,XFG.3,143.0,19.16845376845377,12.829100425253515,-1.3099662376697099,2.9794175005465258,8848.0,4.0,16.0,5.0,9.0,5395.0,3.0,48.0,16.0,8.0,5798.0,6.0,4.0,17.0,7.0,9510.0
PX703562,XFG.3.1.3,146.0,15.829129779001903,10.99407326179473,-0.9895792307375759,2.9789776145379507,8845.0,4.0,18.0,4.0,9.0,5393.0,3.0,49.0,16.0,7.0,5798.0,6.0,4.0,20.0,6.0,9506.0
PX703563,XFG.3,147.0,22.90651471248486,17.427451359984506,-1.030988151335321,2.978846286445953,8847.0,4.0,17.0,5.0,9.0,5392.0,3.0,51.0,16.0,8.0,5796.0,8.0,4.0,16.0,6.0,9512.0
PX447498,LP.8.1.4,137.0,27.232447122769702,22.28405771443745,-0.7873750340347596,2.9803099020642336,8864.0,4.0,14.0,4.0,9.0,5400.0,3.0,50.0,16.0,7.0,5807.0,8.0,4.0,12.0,6.0,9537.0
OZ302278,AY.43,37.0,18.587301587301585,15.163035311795642,,2.994007204113922,7756.0,0.0,6.0,1.0,2.0,4820.0,2.0,12.0,3.0,0.0,5164.0,8.0,0.0,2.0,1.0,8419.0
OZ302279,AY.43,37.0,17.80808080808081,14.399999999999995,,2.9944187449792175,8342.0,0.0,5.0,1.0,2.0,5178.0,2.0,10.0,4.0,0.0,5520.0,10.0,0.0,2.0,1.0,9003.0
OZ302280,AY.4.2,41.0,,11.159613059250308,,2.9938391246573266,8505.0,0.0,5.0,0.0,1.0,5218.0,2.0,16.0,3.0,0.0,5578.0,8.0,0.0,5.0,1.0,9146.0
OZ302281,AY.125,45.0,25.260908681961315,22.66190719020908,,2.9935848599230237,8873.0,0.0,5.0,1.0,1.0,5447.0,2.0,17.0,4.0,0.0,5827.0,12.0,0.0,2.0,1.0,9548.0
OZ302286,AY.125,45.0,,17.474518410143883,,2.9934669152199707,8790.0,2.0,5.0,0.0,1.0,5400.0,2.0,18.0,4.0,0.0,5776.0,9.0,0.0,3.0,1.0,9466.0
